校外實習-課程編碼,校外實習-課程名稱,課程類別,學分,時數,申請方式,繳交表件-實習前,繳交表件-實習前,學分及成績認列,說明,其他
1400029,校外實習,校定共同必修(△),2,需滿足320小時(含)以上,與一般課程不同，不需要自己在系統選課，請向系辦申請，系辦彙整名單後統一由教務處加課。申請時間及流程，系辦公告於大三班群，因有時效性，敬請留意申請時間，逾期不候。,配合系辦公告事項辦理，並於三下第16週結束前(最遲需於學期結束前)繳交實習前相關文件至系辦。,配合系辦公告事項辦理，並於四上開學後3周內繳交實習後相關文件至系辦。,實習成績會在4上成績單登錄，但學分數不與四上課表學分數合併計算。,建議三升四暑假完成，若是二升三暑假亦可，但不建議一升二暑假去實習。在未完成2學分必修實習以前，不得選修5學分或是9學分的校外實習。,111學年度入學課程標準：校外實習為校定共同必修(△)2學分 112學年度入學課程標準：校外實習為校定專業必修(▲)2學分
AB04021,校外實習,專業選修(★),5,需滿足432小時(含)以上,與一般課程不同，不需要自己在系統選課，請向系辦申請，系辦彙整名單後統一由教務處加課。申請時間及流程，系辦公告於大三班群，因有時效性，敬請留意申請時間，逾期不候。,配合系辦公告事項辦理，並於開學後二週內繳交實習前相關文件至系辦。,配合系辦公告事項辦理，並於當學期第16週結束前(最遲需於學期結束前)繳交實習後相關文件至系辦。,學分認列於當學期且學分數與當學期其他課程合併計算。,當學期可以選修其他課程。,
AB04013,學期校外實習,專業選修(★),9,需滿足720小時(含)以上,與一般課程不同，不需要自己在系統選課，請向系辦申請，系辦彙整名單後統一由教務處加課。申請時間及流程，系辦公告於大三班群，因有時效性，敬請留意申請時間，逾期不候。,配合系辦公告事項辦理，並於開學後二週內繳交實習前相關文件至系辦。,配合系辦公告事項辦理，並於當學期第16週結束前(最遲需於學期結束前)繳交實習後相關文件至系辦。,學分認列於當學期且學分數與當學期其他課程合併計算。,當學期不可以選修其他課程，一週5天都需要在企業實習。,
